id,race_id,driver_id,constructor_id,grid_position,finish_position,position_text,points,laps,status,fastest_lap_time
1,1,101,140,1,1,1,25.0,71,Finished,1:07.657
2,1,441,73,7,2,2,18.0,71,Finished,1:07.901
3,1,556,135,3,3,3,16.0,71,Finished,1:07.475
4,1,331,140,5,4,4,12.0,71,Finished,1:07.712
5,1,668,135,8,5,5,10.0,71,Finished,1:07.974
6,1,618,163,6,6,6,8.0,71,Finished,1:08.305
7,1,286,5,12,7,7,6.0,71,Finished,1:09.025
8,1,562,170,14,8,8,4.0,71,Finished,1:08.932
9,1,298,4,18,9,9,2.0,71,Finished,1:08.796
10,1,789,73,11,10,10,1.0,71,Finished,1:08.623
11,1,435,212,20,11,11,0.0,71,Finished,1:09.662
12,1,421,5,13,12,12,0.0,69,Suspension,1:09.135
13,1,11,169,4,13,13,0.0,67,Electronics,1:08.432
14,1,665,4,19,14,R,0.0,53,Wheel,1:09.031
15,1,659,212,17,15,R,0.0,49,Fuel pressure,1:09.317
16,1,315,83,15,16,R,0.0,49,Brakes,1:10.228
17,1,480,83,16,17,R,0.0,24,Brakes,1:10.720
18,1,735,163,9,18,R,0.0,20,Engine,1:10.326
19,1,638,170,10,19,R,0.0,17,Overheating,1:10.610
20,1,788,169,2,20,R,0.0,11,Electronics,1:09.351
21,2,331,140,1,1,1,25.0,71,Finished,1:06.719
22,2,101,140,4,2,2,18.0,71,Finished,1:07.534
23,2,788,169,2,3,3,15.0,71,Finished,1:06.145
24,2,11,169,6,4,4,12.0,71,Finished,1:07.299
25,2,556,135,9,5,5,10.0,71,Finished,1:07.193
26,2,618,163,17,6,6,8.0,71,Finished,1:07.188
27,2,735,163,12,7,7,6.0,71,Finished,1:07.833
28,2,638,170,8,8,8,4.0,71,Finished,1:07.832
29,2,668,135,3,9,9,3.0,70,+1 Lap,1:05.619
30,2,421,5,13,10,10,1.0,70,+1 Lap,1:08.378
31,2,665,4,16,11,11,0.0,70,+1 Lap,1:08.382
32,2,480,83,15,12,12,0.0,70,+1 Lap,1:08.009
33,2,315,83,,13,13,0.0,70,+1 Lap,1:08.047
34,2,298,4,19,14,14,0.0,70,+1 Lap,1:08.512
35,2,286,5,7,15,15,0.0,70,+1 Lap,1:07.827
36,2,659,212,11,16,16,0.0,69,+2 Laps,1:08.601
37,2,435,212,18,17,17,0.0,69,+2 Laps,1:08.806
38,2,562,170,5,18,R,0.0,25,Overheating,1:09.321
39,2,441,73,14,19,R,0.0,4,Collision damage,1:35.379
40,2,789,73,10,20,R,0.0,1,Collision damage,
41,3,331,140,1,1,1,26.0,70,Finished,1:16.627
42,3,788,169,7,2,2,18.0,70,Finished,1:19.184
43,3,101,140,2,3,3,15.0,70,Finished,1:17.665
44,3,735,163,3,4,4,12.0,70,Finished,1:18.973
45,3,11,169,13,5,5,10.0,70,Finished,1:19.440
46,3,789,73,5,6,6,8.0,69,+1 Lap,1:20.363
47,3,618,163,4,7,7,6.0,69,+1 Lap,1:20.090
48,3,638,170,11,8,8,4.0,69,+1 Lap,1:19.532
49,3,668,135,9,9,9,2.0,69,+1 Lap,1:20.477
50,3,480,83,,10,10,1.0,69,+1 Lap,1:19.457
51,3,441,73,6,11,11,0.0,69,+1 Lap,1:20.821
52,3,421,5,17,12,12,0.0,69,+1 Lap,1:20.946
53,3,556,135,8,13,13,0.0,69,+1 Lap,1:19.945
54,3,562,170,14,14,14,0.0,69,+1 Lap,1:20.261
55,3,665,4,20,15,15,0.0,69,+1 Lap,1:20.889
56,3,315,83,,16,16,0.0,69,+1 Lap,1:20.232
57,3,298,4,19,17,17,0.0,69,+1 Lap,1:20.096
58,3,659,212,12,18,18,0.0,69,+1 Lap,1:19.984
59,3,435,212,15,19,19,0.0,65,+5 Laps,1:21.198
60,3,286,5,10,20,R,0.0,15,Engine,1:23.939
61,4,331,140,1,1,1,25.0,52,Finished,1:29.238
62,4,788,169,3,2,2,19.0,52,Finished,1:27.097
63,4,441,73,4,3,3,15.0,52,Finished,1:29.813
64,4,638,170,8,4,4,12.0,52,Finished,1:29.482
65,4,556,135,5,5,5,10.0,52,Finished,1:30.058
66,4,562,170,9,6,6,8.0,52,Finished,1:29.491
67,4,286,5,11,7,7,6.0,52,Finished,1:29.603
68,4,11,169,12,8,8,4.0,52,Finished,1:28.689
69,4,735,163,6,9,9,2.0,52,Finished,1:30.475
70,4,789,73,10,10,10,1.0,52,Finished,1:30.537
71,4,101,140,2,11,11,0.0,52,Finished,1:29.265
72,4,659,212,20,12,12,0.0,52,Finished,1:30.862
73,4,668,135,7,13,13,0.0,52,Finished,1:29.948
74,4,298,4,15,14,14,0.0,52,Finished,1:30.977
75,4,435,212,18,15,15,0.0,52,Finished,1:30.501
76,4,315,83,17,16,16,0.0,52,Finished,1:29.782
77,4,665,4,16,17,17,0.0,51,+1 Lap,1:29.973
78,4,421,5,19,18,R,0.0,11,Accident,1:32.443
79,4,480,83,14,19,R,0.0,1,Collision,
80,4,373,163,13,20,W,0.0,,Power Unit,
81,5,788,169,4,1,1,25.0,52,Finished,1:29.465
82,5,331,140,2,2,2,19.0,52,Finished,1:28.451
83,5,101,140,1,3,3,15.0,52,Finished,1:29.765
84,5,441,73,8,4,4,12.0,52,Finished,1:30.552
85,5,11,169,9,5,5,10.0,52,Finished,1:29.477
86,5,735,163,6,6,6,8.0,52,Finished,1:30.877
