id,season,round,name,circuit_name,circuit_location,circuit_country,date,url
84,2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,https://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
85,2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,https://en.wikipedia.org/wiki/2000_Brazilian_Grand_Prix
86,2000,3,San Marino Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,https://en.wikipedia.org/wiki/2000_San_Marino_Grand_Prix
87,2000,4,British Grand Prix,Silverstone Circuit,Silverstone,UK,2000-04-23,https://en.wikipedia.org/wiki/2000_British_Grand_Prix
88,2000,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Barcelona,Spain,2000-05-07,https://en.wikipedia.org/wiki/2000_Spanish_Grand_Prix
89,2000,6,European Grand Prix,Nürburgring,Nürburg,Germany,2000-05-21,https://en.wikipedia.org/wiki/2000_European_Grand_Prix
90,2000,7,Monaco Grand Prix,Circuit de Monaco,Monte Carlo,Monaco,2000-06-04,https://en.wikipedia.org/wiki/2000_Monaco_Grand_Prix
91,2000,8,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,https://en.wikipedia.org/wiki/2000_Canadian_Grand_Prix
92,2000,9,French Grand Prix,Circuit de Nevers Magny-Cours,Magny Cours,France,2000-07-02,https://en.wikipedia.org/wiki/2000_French_Grand_Prix
93,2000,10,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,2000-07-16,https://en.wikipedia.org/wiki/2000_Austrian_Grand_Prix
94,2000,11,German Grand Prix,Hockenheimring,Hockenheim,Germany,2000-07-30,https://en.wikipedia.org/wiki/2000_German_Grand_Prix
95,2000,12,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,2000-08-13,https://en.wikipedia.org/wiki/2000_Hungarian_Grand_Prix
96,2000,13,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,2000-08-27,https://en.wikipedia.org/wiki/2000_Belgian_Grand_Prix
97,2000,14,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,2000-09-10,https://en.wikipedia.org/wiki/2000_Italian_Grand_Prix
98,2000,15,United States Grand Prix,Indianapolis Motor Speedway,Indianapolis,USA,2000-09-24,https://en.wikipedia.org/wiki/2000_United_States_Grand_Prix
99,2000,16,Japanese Grand Prix,Suzuka Circuit,Suzuka,Japan,2000-10-08,https://en.wikipedia.org/wiki/2000_Japanese_Grand_Prix
100,2000,17,Malaysian Grand Prix,Sepang International Circuit,Kuala Lumpur,Malaysia,2000-10-22,https://en.wikipedia.org/wiki/2000_Malaysian_Grand_Prix
101,2001,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2001-03-04,https://en.wikipedia.org/wiki/2001_Australian_Grand_Prix
102,2001,2,Malaysian Grand Prix,Sepang International Circuit,Kuala Lumpur,Malaysia,2001-03-18,https://en.wikipedia.org/wiki/2001_Malaysian_Grand_Prix
103,2001,3,Brazilian Grand Prix,Autódromo José Carlos Pace,São Paulo,Brazil,2001-04-01,https://en.wikipedia.org/wiki/2001_Brazilian_Grand_Prix
104,2001,4,San Marino Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,2001-04-15,https://en.wikipedia.org/wiki/2001_San_Marino_Grand_Prix
105,2001,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Barcelona,Spain,2001-04-29,https://en.wikipedia.org/wiki/2001_Spanish_Grand_Prix
106,2001,6,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,2001-05-13,https://en.wikipedia.org/wiki/2001_Austrian_Grand_Prix
107,2001,7,Monaco Grand Prix,Circuit de Monaco,Monte Carlo,Monaco,2001-05-27,https://en.wikipedia.org/wiki/2001_Monaco_Grand_Prix
108,2001,8,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,2001-06-10,https://en.wikipedia.org/wiki/2001_Canadian_Grand_Prix
109,2001,9,European Grand Prix,Nürburgring,Nürburg,Germany,2001-06-24,https://en.wikipedia.org/wiki/2001_European_Grand_Prix
110,2001,10,French Grand Prix,Circuit de Nevers Magny-Cours,Magny Cours,France,2001-07-01,https://en.wikipedia.org/wiki/2001_French_Grand_Prix
111,2001,11,British Grand Prix,Silverstone Circuit,Silverstone,UK,2001-07-15,https://en.wikipedia.org/wiki/2001_British_Grand_Prix
112,2001,12,German Grand Prix,Hockenheimring,Hockenheim,Germany,2001-07-29,https://en.wikipedia.org/wiki/2001_German_Grand_Prix
113,2001,13,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,2001-08-19,https://en.wikipedia.org/wiki/2001_Hungarian_Grand_Prix
114,2001,14,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,2001-09-02,https://en.wikipedia.org/wiki/2001_Belgian_Grand_Prix
115,2001,15,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,2001-09-16,https://en.wikipedia.org/wiki/2001_Italian_Grand_Prix
116,2001,16,United States Grand Prix,Indianapolis Motor Speedway,Indianapolis,USA,2001-09-30,https://en.wikipedia.org/wiki/2001_United_States_Grand_Prix
117,2001,17,Japanese Grand Prix,Suzuka Circuit,Suzuka,Japan,2001-10-14,https://en.wikipedia.org/wiki/2001_Japanese_Grand_Prix
118,2002,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2002-03-03,https://en.wikipedia.org/wiki/2002_Australian_Grand_Prix
119,2002,2,Malaysian Grand Prix,Sepang International Circuit,Kuala Lumpur,Malaysia,2002-03-17,https://en.wikipedia.org/wiki/2002_Malaysian_Grand_Prix
120,2002,3,Brazilian Grand Prix,Autódromo José Carlos Pace,São Paulo,Brazil,2002-03-31,https://en.wikipedia.org/wiki/2002_Brazilian_Grand_Prix
